"boundary","subject","context","std_b"
9.08227916839116,"hui","No context",9.08227916839116
8.08031853070519,"X3","No context",8.08031853070519
6.51417164120672,"X2","No context",6.51417164120672
9.29147614697192,"X5","No context",9.29147614697192
8.9427007710889,"X4","No context",8.9427007710889
8.23052812635402,"X6","No context",8.23052812635402
8.02742523297698,"X1","No context",8.02742523297698
6.14747072150176,"X10","No context",6.14747072150176
9.67996718011169,"X7","No context",9.67996718011169
7.91825732950811,"X8","No context",7.91825732950811
8.54248761303974,"X15","No context",8.54248761303974
8.18813184838791,"X21","No context",8.18813184838791
7.97469852466497,"X24","No context",7.97469852466497
8.66932213581266,"X27","No context",8.66932213581266
9.10206111866531,"X9","No context",9.10206111866531
8.97243216960207,"X16","No context",8.97243216960207
9.15723737213393,"X30","No context",9.15723737213393
8.36178641121078,"X29","No context",8.36178641121078
9.12449993521582,"X14","No context",9.12449993521582
5.63162707354308,"X12","No context",5.63162707354308
8.93762911605972,"X13","No context",8.93762911605972
6.50000000005638,"X18","No context",6.50000000005638
5.97281743171301,"X11","No context",5.97281743171301
11.26252749912,"X26","No context",11.26252749912
11.66113159921,"X21.1","No context",11.66113159921
9.10206111866531,"X28","No context",9.10206111866531
7.36178643040722,"X25","No context",7.36178643040722
9.11411538052215,"X19","No context",9.11411538052215
8.17451687236479,"hui","Tone 1",8.17451687236479
7.49946842489716,"X3","Tone 1",7.49946842489716
6.46841758078475,"X2","Tone 1",6.46841758078475
9.16093365522499,"X5","Tone 1",9.16093365522499
4.90101614737058,"X4","Tone 1",4.90101614737058
7.54239957372749,"X6","Tone 1",7.54239957372749
5.73518402634097,"X1","Tone 1",5.73518402634097
7.92790836073746,"X10","Tone 1",7.92790836073746
3.61877007336291,"X7","Tone 1",3.61877007336291
6.39969394860806,"X8","Tone 1",6.39969394860806
7.2904382261873,"X15","Tone 1",7.2904382261873
6.91982309935683,"X21","Tone 1",6.91982309935683
6.85661391919578,"X24","Tone 1",6.85661391919578
5.18044338999765,"X27","Tone 1",5.18044338999765
7.02726040095261,"X9","Tone 1",7.02726040095261
11.43567125174,"X16","Tone 1",11
7.02442481477852,"X30","Tone 1",7.02442481477852
8.14131138822861,"X29","Tone 1",8.14131138822861
9.18893541528091,"X14","Tone 1",9.18893541528091
5.34076201323277,"X12","Tone 1",5.34076201323277
5.20016118857396,"X13","Tone 1",5.20016118857396
4.72343000791269,"X18","Tone 1",4.72343000791269
5.14338608175073,"X11","Tone 1",5.14338608175073
7.54861559349988,"X26","Tone 1",7.54861559349988
7.66298408702517,"X21.1","Tone 1",7.66298408702517
7.16692252952408,"X28","Tone 1",7.16692252952408
5.7625209546291,"X25","Tone 1",5.7625209546291
6.37108014654584,"X19","Tone 1",6.37108014654584
6.79820163278937,"hui","Tone 2",6.79820163278937
3.72722390509042,"X3","Tone 2",3.72722390509042
0.901311446256682,"X2","Tone 2",1
2.23599204806179,"X5","Tone 2",2.23599204806179
1.64253903807451,"X4","Tone 2",1.64253903807451
5.64009333466204,"X6","Tone 2",5.64009333466204
1.24420398523713,"X1","Tone 2",1.24420398523713
7.85591514425498,"X10","Tone 2",7.85591514425498
1.12564051055762,"X7","Tone 2",1.12564051055762
3.32483672051468,"X8","Tone 2",3.32483672051468
0.728582100827497,"X15","Tone 2",1
-0.0538808466588886,"X21","Tone 2",1
6.09227852675029,"X24","Tone 2",6.09227852675029
1.34393062433083,"X27","Tone 2",1.34393062433083
7.36178643040722,"X9","Tone 2",7.36178643040722
15.8426441038503,"X16","Tone 2",11
3.34577864763836,"X30","Tone 2",3.34577864763836
7.46677993658507,"X29","Tone 2",7.46677993658507
-3.60345144302966,"X14","Tone 2",1
-0.981770939447336,"X12","Tone 2",1
-11.4709146040027,"X13","Tone 2",1
0.796845693643269,"X18","Tone 2",1
4.0446546457599,"X11","Tone 2",4.0446546457599
3.12132764348805,"X26","Tone 2",3.12132764348805
3.75466683917222,"X21.1","Tone 2",3.75466683917222
7.40685725135467,"X28","Tone 2",7.40685725135467
3.33616554050258,"X25","Tone 2",3.33616554050258
5.70987904104759,"X19","Tone 2",5.70987904104759
9.91742689912241,"hui","Tone 4",9.91742689912241
10.0824856063645,"X3","Tone 4",10.0824856063645
8.36178641121078,"X2","Tone 4",8.36178641121078
9.97650613464156,"X5","Tone 4",9.97650613464156
8.99750150375308,"X4","Tone 4",8.99750150375308
9.31542150644304,"X6","Tone 4",9.31542150644304
7.53086117947426,"X1","Tone 4",7.53086117947426
9.2089757224395,"X10","Tone 4",9.2089757224395
8.92137523534931,"X7","Tone 4",8.92137523534931
8.97470244816354,"X8","Tone 4",8.97470244816354
11.0802499469578,"X15","Tone 4",11
9.85445574206504,"X21","Tone 4",9.85445574206504
8.93762911605972,"X24","Tone 4",8.93762911605972
10.2855310016027,"X27","Tone 4",10.2855310016027
9.76985026499937,"X9","Tone 4",9.76985026499937
20.7919706136513,"X16","Tone 4",11
9.9005777405697,"X30","Tone 4",9.9005777405697
10.4970678909151,"X29","Tone 4",10.4970678909151
9.76985026499937,"X14","Tone 4",9.76985026499937
8.02530135786206,"X12","Tone 4",8.02530135786206
9.27819614532426,"X13","Tone 4",9.27819614532426
8.76947223817747,"X18","Tone 4",8.76947223817747
8.49999999999226,"X11","Tone 4",8.49999999999226
25.799647263783,"X26","Tone 4",11
10.6516664587175,"X21.1","Tone 4",10.6516664587175
11.0452511484262,"X28","Tone 4",11
8.69457010857603,"X25","Tone 4",8.69457010857603
8.45770317796158,"X19","Tone 4",8.45770317796158
