"","step","Context tone","Speechness","subject","T4_count"
"155","step01","No context","Speech","X013",7
"156","step02","No context","Speech","X013",7
"157","step03","No context","Speech","X013",7
"158","step04","No context","Speech","X013",7
"159","step05","No context","Speech","X013",7
"160","step06","No context","Speech","X013",7
"161","step07","No context","Speech","X013",7
"162","step08","No context","Speech","X013",6
"163","step09","No context","Speech","X013",4
"164","step10","No context","Speech","X013",3
"165","step11","No context","Speech","X013",0
"166","step12","No context","Speech","X013",0
"167","step13","No context","Speech","X013",0
"168","step14","No context","Speech","X013",0
"169","step01","No context","Speech","X029",7
"170","step02","No context","Speech","X029",7
"171","step03","No context","Speech","X029",7
"172","step04","No context","Speech","X029",7
"173","step05","No context","Speech","X029",7
"174","step06","No context","Speech","X029",6
"175","step07","No context","Speech","X029",6
"176","step08","No context","Speech","X029",5
"177","step09","No context","Speech","X029",2
"178","step10","No context","Speech","X029",0
"179","step11","No context","Speech","X029",0
"180","step12","No context","Speech","X029",0
"181","step13","No context","Speech","X029",0
"182","step14","No context","Speech","X029",0
"183","step01","No context","Speech","X007",7
"184","step02","No context","Speech","X007",7
"185","step03","No context","Speech","X007",7
"186","step04","No context","Speech","X007",7
"187","step05","No context","Speech","X007",7
"188","step06","No context","Speech","X007",5
"189","step07","No context","Speech","X007",4
"190","step08","No context","Speech","X007",1
"191","step09","No context","Speech","X007",0
"192","step10","No context","Speech","X007",0
"193","step11","No context","Speech","X007",0
"194","step12","No context","Speech","X007",0
"195","step13","No context","Speech","X007",0
"196","step14","No context","Speech","X007",0
"197","step01","No context","Speech","X010",7
"198","step02","No context","Speech","X010",7
"199","step03","No context","Speech","X010",7
"200","step04","No context","Speech","X010",7
"201","step05","No context","Speech","X010",7
"202","step06","No context","Speech","X010",7
"203","step07","No context","Speech","X010",7
"204","step08","No context","Speech","X010",6
"205","step09","No context","Speech","X010",0
"206","step10","No context","Speech","X010",0
"207","step11","No context","Speech","X010",0
"208","step12","No context","Speech","X010",0
"209","step13","No context","Speech","X010",0
"210","step14","No context","Speech","X010",0
"211","step01","No context","Speech","X011",7
"212","step02","No context","Speech","X011",7
"213","step03","No context","Speech","X011",7
"214","step04","No context","Speech","X011",7
"215","step05","No context","Speech","X011",6
"216","step06","No context","Speech","X011",6
"217","step07","No context","Speech","X011",5
"218","step08","No context","Speech","X011",4
"219","step09","No context","Speech","X011",2
"220","step10","No context","Speech","X011",0
"221","step11","No context","Speech","X011",0
"222","step12","No context","Speech","X011",0
"223","step13","No context","Speech","X011",0
"224","step14","No context","Speech","X011",0
"225","step01","No context","Speech","X014",7
"226","step02","No context","Speech","X014",7
"227","step03","No context","Speech","X014",7
"228","step04","No context","Speech","X014",7
"229","step05","No context","Speech","X014",7
"230","step06","No context","Speech","X014",6
"231","step07","No context","Speech","X014",3
"232","step08","No context","Speech","X014",3
"233","step09","No context","Speech","X014",0
"234","step10","No context","Speech","X014",0
"235","step11","No context","Speech","X014",0
"236","step12","No context","Speech","X014",0
"237","step13","No context","Speech","X014",0
"238","step14","No context","Speech","X014",0
"239","step01","No context","Speech","X006",7
"240","step02","No context","Speech","X006",7
"241","step03","No context","Speech","X006",7
"242","step04","No context","Speech","X006",7
"243","step05","No context","Speech","X006",7
"244","step06","No context","Speech","X006",5
"245","step07","No context","Speech","X006",2
"246","step08","No context","Speech","X006",0
"247","step09","No context","Speech","X006",0
"248","step10","No context","Speech","X006",0
"249","step11","No context","Speech","X006",0
"250","step12","No context","Speech","X006",0
"251","step13","No context","Speech","X006",0
"252","step14","No context","Speech","X006",0
"253","step01","No context","Speech","X016",7
"254","step02","No context","Speech","X016",7
"255","step03","No context","Speech","X016",7
"256","step04","No context","Speech","X016",7
"257","step05","No context","Speech","X016",7
"258","step06","No context","Speech","X016",7
"259","step07","No context","Speech","X016",7
"260","step08","No context","Speech","X016",7
"261","step09","No context","Speech","X016",0
"262","step10","No context","Speech","X016",0
"263","step11","No context","Speech","X016",0
"264","step12","No context","Speech","X016",0
"265","step13","No context","Speech","X016",0
