"","step","Context tone","Speechness","subject","T4_count"
"727","step13","No context","Nonspeech","X016",0
"728","step14","No context","Nonspeech","X016",0
"729","step01","No context","Nonspeech","X012",7
"730","step02","No context","Nonspeech","X012",7
"731","step03","No context","Nonspeech","X012",7
"732","step04","No context","Nonspeech","X012",7
"733","step05","No context","Nonspeech","X012",6
"734","step06","No context","Nonspeech","X012",3
"735","step07","No context","Nonspeech","X012",6
"736","step08","No context","Nonspeech","X012",6
"737","step09","No context","Nonspeech","X012",0
"738","step10","No context","Nonspeech","X012",0
"739","step11","No context","Nonspeech","X012",0
"740","step12","No context","Nonspeech","X012",0
"741","step13","No context","Nonspeech","X012",0
"742","step14","No context","Nonspeech","X012",0
"743","step01","No context","Nonspeech","X005",7
"744","step02","No context","Nonspeech","X005",7
"745","step03","No context","Nonspeech","X005",7
"746","step04","No context","Nonspeech","X005",7
"747","step05","No context","Nonspeech","X005",7
"748","step06","No context","Nonspeech","X005",7
"749","step07","No context","Nonspeech","X005",7
"750","step08","No context","Nonspeech","X005",7
"751","step09","No context","Nonspeech","X005",2
"752","step10","No context","Nonspeech","X005",0
"753","step11","No context","Nonspeech","X005",0
"754","step12","No context","Nonspeech","X005",0
"755","step13","No context","Nonspeech","X005",0
"756","step14","No context","Nonspeech","X005",0
"757","step01","No context","Nonspeech","X009",7
"758","step02","No context","Nonspeech","X009",7
"759","step03","No context","Nonspeech","X009",7
"760","step04","No context","Nonspeech","X009",7
"761","step05","No context","Nonspeech","X009",7
"762","step06","No context","Nonspeech","X009",7
"763","step07","No context","Nonspeech","X009",6
"764","step08","No context","Nonspeech","X009",7
"765","step09","No context","Nonspeech","X009",5
"766","step10","No context","Nonspeech","X009",0
"767","step11","No context","Nonspeech","X009",1
"768","step12","No context","Nonspeech","X009",0
"769","step13","No context","Nonspeech","X009",0
"770","step14","No context","Nonspeech","X009",0
"771","step01","No context","Nonspeech","X015",7
"772","step02","No context","Nonspeech","X015",7
"773","step03","No context","Nonspeech","X015",7
"774","step04","No context","Nonspeech","X015",7
"775","step05","No context","Nonspeech","X015",7
"776","step06","No context","Nonspeech","X015",7
"777","step07","No context","Nonspeech","X015",4
"778","step08","No context","Nonspeech","X015",6
"779","step09","No context","Nonspeech","X015",0
"780","step10","No context","Nonspeech","X015",0
"781","step11","No context","Nonspeech","X015",0
"782","step12","No context","Nonspeech","X015",0
"783","step13","No context","Nonspeech","X015",0
"784","step14","No context","Nonspeech","X015",0
"785","step01","No context","Nonspeech","X037",7
"786","step02","No context","Nonspeech","X037",7
"787","step03","No context","Nonspeech","X037",7
"788","step04","No context","Nonspeech","X037",7
"789","step05","No context","Nonspeech","X037",7
"790","step06","No context","Nonspeech","X037",5
"791","step07","No context","Nonspeech","X037",3
"792","step08","No context","Nonspeech","X037",0
"793","step09","No context","Nonspeech","X037",0
"794","step10","No context","Nonspeech","X037",0
"795","step11","No context","Nonspeech","X037",0
"796","step12","No context","Nonspeech","X037",0
"797","step13","No context","Nonspeech","X037",0
"798","step14","No context","Nonspeech","X037",0
"799","step01","No context","Nonspeech","X027",7
"800","step02","No context","Nonspeech","X027",7
"801","step03","No context","Nonspeech","X027",7
"802","step04","No context","Nonspeech","X027",7
"803","step05","No context","Nonspeech","X027",7
"804","step06","No context","Nonspeech","X027",7
"805","step07","No context","Nonspeech","X027",7
"806","step08","No context","Nonspeech","X027",7
"807","step09","No context","Nonspeech","X027",1
"808","step10","No context","Nonspeech","X027",1
"809","step11","No context","Nonspeech","X027",0
"810","step12","No context","Nonspeech","X027",0
"811","step13","No context","Nonspeech","X027",0
"812","step14","No context","Nonspeech","X027",0
"813","step01","No context","Nonspeech","X003",7
"814","step02","No context","Nonspeech","X003",7
"815","step03","No context","Nonspeech","X003",7
"816","step04","No context","Nonspeech","X003",7
"817","step05","No context","Nonspeech","X003",7
"818","step06","No context","Nonspeech","X003",3
"819","step07","No context","Nonspeech","X003",2
"820","step08","No context","Nonspeech","X003",0
"821","step09","No context","Nonspeech","X003",0
"822","step10","No context","Nonspeech","X003",0
"823","step11","No context","Nonspeech","X003",0
"824","step12","No context","Nonspeech","X003",0
"825","step13","No context","Nonspeech","X003",0
"826","step14","No context","Nonspeech","X003",0
"827","step01","No context","Nonspeech","X024",7
"828","step02","No context","Nonspeech","X024",7
"829","step03","No context","Nonspeech","X024",7
"830","step04","No context","Nonspeech","X024",7
"831","step05","No context","Nonspeech","X024",7
"832","step06","No context","Nonspeech","X024",3
"833","step07","No context","Nonspeech","X024",1
"834","step08","No context","Nonspeech","X024",0
"835","step09","No context","Nonspeech","X024",0
"836","step10","No context","Nonspeech","X024",0
"837","step11","No context","Nonspeech","X024",0
"838","step12","No context","Nonspeech","X024",0
"839","step13","No context","Nonspeech","X024",0
"840","step14","No context","Nonspeech","X024",0
"841","step01","No context","Nonspeech","X022",7
"842","step02","No context","Nonspeech","X022",7
"843","step03","No context","Nonspeech","X022",7
"844","step04","No context","Nonspeech","X022",7
"845","step05","No context","Nonspeech","X022",7
"846","step06","No context","Nonspeech","X022",7
"847","step07","No context","Nonspeech","X022",5
"848","step08","No context","Nonspeech","X022",1
"849","step09","No context","Nonspeech","X022",0
"850","step10","No context","Nonspeech","X022",0
"851","step11","No context","Nonspeech","X022",0
"852","step12","No context","Nonspeech","X022",0
"853","step13","No context","Nonspeech","X022",0
"854","step14","No context","Nonspeech","X022",0
"855","step01","No context","Nonspeech","X021",7
"856","step02","No context","Nonspeech","X021",7
"857","step03","No context","Nonspeech","X021",7
"858","step04","No context","Nonspeech","X021",7
"859","step05","No context","Nonspeech","X021",7
"860","step06","No context","Nonspeech","X021",3
"861","step07","No context","Nonspeech","X021",4
"862","step08","No context","Nonspeech","X021",3
"863","step09","No context","Nonspeech","X021",0
"864","step10","No context","Nonspeech","X021",1
"865","step11","No context","Nonspeech","X021",1
"866","step12","No context","Nonspeech","X021",0
"867","step13","No context","Nonspeech","X021",0
"868","step14","No context","Nonspeech","X021",0
"869","step01","No context","Nonspeech","X020",7
"870","step02","No context","Nonspeech","X020",7
"871","step03","No context","Nonspeech","X020",7
"872","step04","No context","Nonspeech","X020",7
"873","step05","No context","Nonspeech","X020",7
"874","step06","No context","Nonspeech","X020",7
"875","step07","No context","Nonspeech","X020",7
"876","step08","No context","Nonspeech","X020",7
"877","step09","No context","Nonspeech","X020",4
"878","step10","No context","Nonspeech","X020",0
"879","step11","No context","Nonspeech","X020",0
"880","step12","No context","Nonspeech","X020",0
"881","step13","No context","Nonspeech","X020",0
"882","step14","No context","Nonspeech","X020",0
"883","step01","No context","Nonspeech","X026",7
"884","step02","No context","Nonspeech","X026",7
"885","step03","No context","Nonspeech","X026",7
"886","step04","No context","Nonspeech","X026",7
"887","step05","No context","Nonspeech","X026",7
"888","step06","No context","Nonspeech","X026",6
"889","step07","No context","Nonspeech","X026",4
"890","step08","No context","Nonspeech","X026",1
"891","step09","No context","Nonspeech","X026",1
"892","step10","No context","Nonspeech","X026",0
"893","step11","No context","Nonspeech","X026",0
"894","step12","No context","Nonspeech","X026",0
"895","step13","No context","Nonspeech","X026",0
"896","step14","No context","Nonspeech","X026",0
"897","step01","No context","Nonspeech","X008",7
"898","step02","No context","Nonspeech","X008",7
"899","step03","No context","Nonspeech","X008",7
"900","step04","No context","Nonspeech","X008",7
"901","step05","No context","Nonspeech","X008",7
"902","step06","No context","Nonspeech","X008",6
"903","step07","No context","Nonspeech","X008",3
"904","step08","No context","Nonspeech","X008",0
"905","step09","No context","Nonspeech","X008",0
"906","step10","No context","Nonspeech","X008",0
"907","step11","No context","Nonspeech","X008",0
"908","step12","No context","Nonspeech","X008",0
"909","step13","No context","Nonspeech","X008",0
"910","step14","No context","Nonspeech","X008",0
"911","step01","No context","Nonspeech","X025",7
"912","step02","No context","Nonspeech","X025",7
"913","step03","No context","Nonspeech","X025",7
"914","step04","No context","Nonspeech","X025",7
"915","step05","No context","Nonspeech","X025",7
"916","step06","No context","Nonspeech","X025",6
"917","step07","No context","Nonspeech","X025",5
"918","step08","No context","Nonspeech","X025",4
"919","step09","No context","Nonspeech","X025",1
"920","step10","No context","Nonspeech","X025",1
"921","step11","No context","Nonspeech","X025",0
"922","step12","No context","Nonspeech","X025",0
"923","step13","No context","Nonspeech","X025",0
"924","step14","No context","Nonspeech","X025",0
"925","step01","Tone 1","Nonspeech","X004",7
"926","step02","Tone 1","Nonspeech","X004",7
"927","step03","Tone 1","Nonspeech","X004",7
"928","step04","Tone 1","Nonspeech","X004",7
"929","step05","Tone 1","Nonspeech","X004",7
"930","step06","Tone 1","Nonspeech","X004",7
"931","step07","Tone 1","Nonspeech","X004",7
"932","step08","Tone 1","Nonspeech","X004",7
"933","step09","Tone 1","Nonspeech","X004",5
"934","step10","Tone 1","Nonspeech","X004",2
"935","step11","Tone 1","Nonspeech","X004",0
"936","step12","Tone 1","Nonspeech","X004",0
"937","step13","Tone 1","Nonspeech","X004",0
"938","step14","Tone 1","Nonspeech","X004",0
"939","step01","Tone 2","Nonspeech","X004",7
"940","step02","Tone 2","Nonspeech","X004",7
"941","step03","Tone 2","Nonspeech","X004",7
"942","step04","Tone 2","Nonspeech","X004",7
"943","step05","Tone 2","Nonspeech","X004",7
"944","step06","Tone 2","Nonspeech","X004",7
"945","step07","Tone 2","Nonspeech","X004",7
"946","step08","Tone 2","Nonspeech","X004",7
"947","step09","Tone 2","Nonspeech","X004",5
"948","step10","Tone 2","Nonspeech","X004",3
"949","step11","Tone 2","Nonspeech","X004",1
"950","step12","Tone 2","Nonspeech","X004",0
"951","step13","Tone 2","Nonspeech","X004",0
"952","step14","Tone 2","Nonspeech","X004",0
"953","step01","Tone 4","Nonspeech","X004",7
"954","step02","Tone 4","Nonspeech","X004",7
"955","step03","Tone 4","Nonspeech","X004",7
"956","step04","Tone 4","Nonspeech","X004",7
"957","step05","Tone 4","Nonspeech","X004",7
"958","step06","Tone 4","Nonspeech","X004",7
"959","step07","Tone 4","Nonspeech","X004",7
"960","step08","Tone 4","Nonspeech","X004",7
"961","step09","Tone 4","Nonspeech","X004",6
"962","step10","Tone 4","Nonspeech","X004",2
"963","step11","Tone 4","Nonspeech","X004",0
"964","step12","Tone 4","Nonspeech","X004",0
"965","step13","Tone 4","Nonspeech","X004",0
"966","step14","Tone 4","Nonspeech","X004",0
"967","step01","Tone 1","Nonspeech","X017",7
"968","step02","Tone 1","Nonspeech","X017",7
"969","step03","Tone 1","Nonspeech","X017",7
"970","step04","Tone 1","Nonspeech","X017",7
"971","step05","Tone 1","Nonspeech","X017",7
"972","step06","Tone 1","Nonspeech","X017",7
"973","step07","Tone 1","Nonspeech","X017",6
"974","step08","Tone 1","Nonspeech","X017",6
"975","step09","Tone 1","Nonspeech","X017",6
"976","step10","Tone 1","Nonspeech","X017",1
"977","step11","Tone 1","Nonspeech","X017",0
"978","step12","Tone 1","Nonspeech","X017",0
"979","step13","Tone 1","Nonspeech","X017",0
"980","step14","Tone 1","Nonspeech","X017",0
"981","step01","Tone 2","Nonspeech","X017",7
"982","step02","Tone 2","Nonspeech","X017",7
"983","step03","Tone 2","Nonspeech","X017",7
"984","step04","Tone 2","Nonspeech","X017",7
"985","step05","Tone 2","Nonspeech","X017",7
"986","step06","Tone 2","Nonspeech","X017",7
"987","step07","Tone 2","Nonspeech","X017",7
"988","step08","Tone 2","Nonspeech","X017",6
"989","step09","Tone 2","Nonspeech","X017",2
"990","step10","Tone 2","Nonspeech","X017",2
"991","step11","Tone 2","Nonspeech","X017",1
"992","step12","Tone 2","Nonspeech","X017",0
"993","step13","Tone 2","Nonspeech","X017",0
"994","step14","Tone 2","Nonspeech","X017",0
"995","step01","Tone 4","Nonspeech","X017",7
"996","step02","Tone 4","Nonspeech","X017",7
"997","step03","Tone 4","Nonspeech","X017",7
"998","step04","Tone 4","Nonspeech","X017",7
"999","step05","Tone 4","Nonspeech","X017",7
"1000","step06","Tone 4","Nonspeech","X017",6
"1001","step07","Tone 4","Nonspeech","X017",7
"1002","step08","Tone 4","Nonspeech","X017",7
"1003","step09","Tone 4","Nonspeech","X017",5
"1004","step10","Tone 4","Nonspeech","X017",4
"1005","step11","Tone 4","Nonspeech","X017",1
"1006","step12","Tone 4","Nonspeech","X017",1
"1007","step13","Tone 4","Nonspeech","X017",0
"1008","step14","Tone 4","Nonspeech","X017",0
"1009","step01","Tone 1","Nonspeech","X033",7
"1010","step02","Tone 1","Nonspeech","X033",7
"1011","step03","Tone 1","Nonspeech","X033",7
"1012","step04","Tone 1","Nonspeech","X033",7
"1013","step05","Tone 1","Nonspeech","X033",7
"1014","step06","Tone 1","Nonspeech","X033",6
"1015","step07","Tone 1","Nonspeech","X033",4
"1016","step08","Tone 1","Nonspeech","X033",4
"1017","step09","Tone 1","Nonspeech","X033",1
"1018","step10","Tone 1","Nonspeech","X033",0
"1019","step11","Tone 1","Nonspeech","X033",0
"1020","step12","Tone 1","Nonspeech","X033",0
"1021","step13","Tone 1","Nonspeech","X033",0
"1022","step14","Tone 1","Nonspeech","X033",0
"1023","step01","Tone 2","Nonspeech","X033",7
"1024","step02","Tone 2","Nonspeech","X033",7
"1025","step03","Tone 2","Nonspeech","X033",7
"1026","step04","Tone 2","Nonspeech","X033",7
"1027","step05","Tone 2","Nonspeech","X033",7
"1028","step06","Tone 2","Nonspeech","X033",4
"1029","step07","Tone 2","Nonspeech","X033",7
"1030","step08","Tone 2","Nonspeech","X033",3
"1031","step09","Tone 2","Nonspeech","X033",0
"1032","step10","Tone 2","Nonspeech","X033",0
"1033","step11","Tone 2","Nonspeech","X033",0
"1034","step12","Tone 2","Nonspeech","X033",0
"1035","step13","Tone 2","Nonspeech","X033",0
"1036","step14","Tone 2","Nonspeech","X033",0
"1037","step01","Tone 4","Nonspeech","X033",7
"1038","step02","Tone 4","Nonspeech","X033",7
"1039","step03","Tone 4","Nonspeech","X033",7
"1040","step04","Tone 4","Nonspeech","X033",7
"1041","step05","Tone 4","Nonspeech","X033",7
"1042","step06","Tone 4","Nonspeech","X033",6
"1043","step07","Tone 4","Nonspeech","X033",5
"1044","step08","Tone 4","Nonspeech","X033",5
"1045","step09","Tone 4","Nonspeech","X033",2
"1046","step10","Tone 4","Nonspeech","X033",0
"1047","step11","Tone 4","Nonspeech","X033",0
"1048","step12","Tone 4","Nonspeech","X033",0
"1049","step13","Tone 4","Nonspeech","X033",0
"1050","step14","Tone 4","Nonspeech","X033",0
"1051","step01","Tone 1","Nonspeech","X030",7
"1052","step02","Tone 1","Nonspeech","X030",7
"1053","step03","Tone 1","Nonspeech","X030",7
"1054","step04","Tone 1","Nonspeech","X030",7
"1055","step05","Tone 1","Nonspeech","X030",7
"1056","step06","Tone 1","Nonspeech","X030",7
"1057","step07","Tone 1","Nonspeech","X030",7
"1058","step08","Tone 1","Nonspeech","X030",7
"1059","step09","Tone 1","Nonspeech","X030",7
"1060","step10","Tone 1","Nonspeech","X030",1
"1061","step11","Tone 1","Nonspeech","X030",1
"1062","step12","Tone 1","Nonspeech","X030",0
"1063","step13","Tone 1","Nonspeech","X030",0
"1064","step14","Tone 1","Nonspeech","X030",0
"1065","step01","Tone 2","Nonspeech","X030",7
"1066","step02","Tone 2","Nonspeech","X030",7
"1067","step03","Tone 2","Nonspeech","X030",6
"1068","step04","Tone 2","Nonspeech","X030",7
"1069","step05","Tone 2","Nonspeech","X030",7
"1070","step06","Tone 2","Nonspeech","X030",7
"1071","step07","Tone 2","Nonspeech","X030",7
"1072","step08","Tone 2","Nonspeech","X030",7
"1073","step09","Tone 2","Nonspeech","X030",6
"1074","step10","Tone 2","Nonspeech","X030",1
"1075","step11","Tone 2","Nonspeech","X030",0
"1076","step12","Tone 2","Nonspeech","X030",0
"1077","step13","Tone 2","Nonspeech","X030",0
"1078","step14","Tone 2","Nonspeech","X030",0
"1079","step01","Tone 4","Nonspeech","X030",7
"1080","step02","Tone 4","Nonspeech","X030",7
"1081","step03","Tone 4","Nonspeech","X030",7
"1082","step04","Tone 4","Nonspeech","X030",7
"1083","step05","Tone 4","Nonspeech","X030",7
"1084","step06","Tone 4","Nonspeech","X030",7
"1085","step07","Tone 4","Nonspeech","X030",7
"1086","step08","Tone 4","Nonspeech","X030",7
"1087","step09","Tone 4","Nonspeech","X030",7
"1088","step10","Tone 4","Nonspeech","X030",3
"1089","step11","Tone 4","Nonspeech","X030",2
"1090","step12","Tone 4","Nonspeech","X030",0
"1091","step13","Tone 4","Nonspeech","X030",0
"1092","step14","Tone 4","Nonspeech","X030",0
"1093","step01","Tone 1","Nonspeech","X031",7
"1094","step02","Tone 1","Nonspeech","X031",7
"1095","step03","Tone 1","Nonspeech","X031",7
"1096","step04","Tone 1","Nonspeech","X031",7
"1097","step05","Tone 1","Nonspeech","X031",7
"1098","step06","Tone 1","Nonspeech","X031",6
"1099","step07","Tone 1","Nonspeech","X031",6
"1100","step08","Tone 1","Nonspeech","X031",5
"1101","step09","Tone 1","Nonspeech","X031",4
"1102","step10","Tone 1","Nonspeech","X031",0
"1103","step11","Tone 1","Nonspeech","X031",0
"1104","step12","Tone 1","Nonspeech","X031",0
"1105","step13","Tone 1","Nonspeech","X031",0
"1106","step14","Tone 1","Nonspeech","X031",0
"1107","step01","Tone 2","Nonspeech","X031",7
"1108","step02","Tone 2","Nonspeech","X031",7
"1109","step03","Tone 2","Nonspeech","X031",7
"1110","step04","Tone 2","Nonspeech","X031",7
"1111","step05","Tone 2","Nonspeech","X031",7
"1112","step06","Tone 2","Nonspeech","X031",7
"1113","step07","Tone 2","Nonspeech","X031",7
"1114","step08","Tone 2","Nonspeech","X031",5
"1115","step09","Tone 2","Nonspeech","X031",4
"1116","step10","Tone 2","Nonspeech","X031",0
"1117","step11","Tone 2","Nonspeech","X031",1
"1118","step12","Tone 2","Nonspeech","X031",0
"1119","step13","Tone 2","Nonspeech","X031",0
"1120","step14","Tone 2","Nonspeech","X031",0
"1121","step01","Tone 4","Nonspeech","X031",7
"1122","step02","Tone 4","Nonspeech","X031",7
"1123","step03","Tone 4","Nonspeech","X031",7
"1124","step04","Tone 4","Nonspeech","X031",7
"1125","step05","Tone 4","Nonspeech","X031",7
"1126","step06","Tone 4","Nonspeech","X031",7
"1127","step07","Tone 4","Nonspeech","X031",7
"1128","step08","Tone 4","Nonspeech","X031",6
"1129","step09","Tone 4","Nonspeech","X031",4
"1130","step10","Tone 4","Nonspeech","X031",0
"1131","step11","Tone 4","Nonspeech","X031",0
"1132","step12","Tone 4","Nonspeech","X031",0
"1133","step13","Tone 4","Nonspeech","X031",0
"1134","step14","Tone 4","Nonspeech","X031",0
"1135","step01","Tone 1","Nonspeech","X001",7
"1136","step02","Tone 1","Nonspeech","X001",7
"1137","step03","Tone 1","Nonspeech","X001",7
"1138","step04","Tone 1","Nonspeech","X001",7
"1139","step05","Tone 1","Nonspeech","X001",7
"1140","step06","Tone 1","Nonspeech","X001",6
"1141","step07","Tone 1","Nonspeech","X001",7
"1142","step08","Tone 1","Nonspeech","X001",6
"1143","step09","Tone 1","Nonspeech","X001",7
"1144","step10","Tone 1","Nonspeech","X001",0
"1145","step11","Tone 1","Nonspeech","X001",1
"1146","step12","Tone 1","Nonspeech","X001",0
"1147","step13","Tone 1","Nonspeech","X001",0
"1148","step14","Tone 1","Nonspeech","X001",0
"1149","step01","Tone 2","Nonspeech","X001",7
"1150","step02","Tone 2","Nonspeech","X001",7
"1151","step03","Tone 2","Nonspeech","X001",7
"1152","step04","Tone 2","Nonspeech","X001",7
"1153","step05","Tone 2","Nonspeech","X001",7
"1154","step06","Tone 2","Nonspeech","X001",7
"1155","step07","Tone 2","Nonspeech","X001",7
"1156","step08","Tone 2","Nonspeech","X001",7
"1157","step09","Tone 2","Nonspeech","X001",5
"1158","step10","Tone 2","Nonspeech","X001",1
"1159","step11","Tone 2","Nonspeech","X001",0
"1160","step12","Tone 2","Nonspeech","X001",0
"1161","step13","Tone 2","Nonspeech","X001",0
"1162","step14","Tone 2","Nonspeech","X001",0
"1163","step01","Tone 4","Nonspeech","X001",7
"1164","step02","Tone 4","Nonspeech","X001",7
"1165","step03","Tone 4","Nonspeech","X001",7
"1166","step04","Tone 4","Nonspeech","X001",7
"1167","step05","Tone 4","Nonspeech","X001",7
"1168","step06","Tone 4","Nonspeech","X001",7
"1169","step07","Tone 4","Nonspeech","X001",7
"1170","step08","Tone 4","Nonspeech","X001",7
"1171","step09","Tone 4","Nonspeech","X001",5
"1172","step10","Tone 4","Nonspeech","X001",1
"1173","step11","Tone 4","Nonspeech","X001",0
"1174","step12","Tone 4","Nonspeech","X001",0
"1175","step13","Tone 4","Nonspeech","X001",0
"1176","step14","Tone 4","Nonspeech","X001",0
"1177","step01","Tone 1","Nonspeech","X032",7
"1178","step02","Tone 1","Nonspeech","X032",7
"1179","step03","Tone 1","Nonspeech","X032",7
"1180","step04","Tone 1","Nonspeech","X032",7
"1181","step05","Tone 1","Nonspeech","X032",7
"1182","step06","Tone 1","Nonspeech","X032",6
"1183","step07","Tone 1","Nonspeech","X032",7
"1184","step08","Tone 1","Nonspeech","X032",6
"1185","step09","Tone 1","Nonspeech","X032",6
"1186","step10","Tone 1","Nonspeech","X032",5
"1187","step11","Tone 1","Nonspeech","X032",0
"1188","step12","Tone 1","Nonspeech","X032",1
"1189","step13","Tone 1","Nonspeech","X032",1
"1190","step14","Tone 1","Nonspeech","X032",0
"1191","step01","Tone 2","Nonspeech","X032",6
"1192","step02","Tone 2","Nonspeech","X032",7
"1193","step03","Tone 2","Nonspeech","X032",7
"1194","step04","Tone 2","Nonspeech","X032",6
"1195","step05","Tone 2","Nonspeech","X032",6
"1196","step06","Tone 2","Nonspeech","X032",7
"1197","step07","Tone 2","Nonspeech","X032",6
"1198","step08","Tone 2","Nonspeech","X032",6
"1199","step09","Tone 2","Nonspeech","X032",6
"1200","step10","Tone 2","Nonspeech","X032",3
"1201","step11","Tone 2","Nonspeech","X032",1
"1202","step12","Tone 2","Nonspeech","X032",1
"1203","step13","Tone 2","Nonspeech","X032",0
"1204","step14","Tone 2","Nonspeech","X032",0
"1205","step01","Tone 4","Nonspeech","X032",7
"1206","step02","Tone 4","Nonspeech","X032",7
"1207","step03","Tone 4","Nonspeech","X032",7
"1208","step04","Tone 4","Nonspeech","X032",6
"1209","step05","Tone 4","Nonspeech","X032",7
"1210","step06","Tone 4","Nonspeech","X032",6
"1211","step07","Tone 4","Nonspeech","X032",6
"1212","step08","Tone 4","Nonspeech","X032",6
"1213","step09","Tone 4","Nonspeech","X032",7
"1214","step10","Tone 4","Nonspeech","X032",2
"1215","step11","Tone 4","Nonspeech","X032",0
"1216","step12","Tone 4","Nonspeech","X032",1
"1217","step13","Tone 4","Nonspeech","X032",0
"1218","step14","Tone 4","Nonspeech","X032",0
"1219","step01","Tone 1","Nonspeech","X035",7
"1220","step02","Tone 1","Nonspeech","X035",6
"1221","step03","Tone 1","Nonspeech","X035",7
"1222","step04","Tone 1","Nonspeech","X035",7
"1223","step05","Tone 1","Nonspeech","X035",6
"1224","step06","Tone 1","Nonspeech","X035",6
"1225","step07","Tone 1","Nonspeech","X035",5
"1226","step08","Tone 1","Nonspeech","X035",6
"1227","step09","Tone 1","Nonspeech","X035",1
"1228","step10","Tone 1","Nonspeech","X035",1
"1229","step11","Tone 1","Nonspeech","X035",0
"1230","step12","Tone 1","Nonspeech","X035",0
"1231","step13","Tone 1","Nonspeech","X035",0
"1232","step14","Tone 1","Nonspeech","X035",0
"1233","step01","Tone 2","Nonspeech","X035",7
"1234","step02","Tone 2","Nonspeech","X035",6
"1235","step03","Tone 2","Nonspeech","X035",7
"1236","step04","Tone 2","Nonspeech","X035",6
"1237","step05","Tone 2","Nonspeech","X035",6
"1238","step06","Tone 2","Nonspeech","X035",6
"1239","step07","Tone 2","Nonspeech","X035",6
"1240","step08","Tone 2","Nonspeech","X035",7
"1241","step09","Tone 2","Nonspeech","X035",4
"1242","step10","Tone 2","Nonspeech","X035",0
"1243","step11","Tone 2","Nonspeech","X035",0
"1244","step12","Tone 2","Nonspeech","X035",0
"1245","step13","Tone 2","Nonspeech","X035",0
"1246","step14","Tone 2","Nonspeech","X035",0
"1247","step01","Tone 4","Nonspeech","X035",7
"1248","step02","Tone 4","Nonspeech","X035",7
"1249","step03","Tone 4","Nonspeech","X035",7
"1250","step04","Tone 4","Nonspeech","X035",7
"1251","step05","Tone 4","Nonspeech","X035",6
"1252","step06","Tone 4","Nonspeech","X035",4
"1253","step07","Tone 4","Nonspeech","X035",6
"1254","step08","Tone 4","Nonspeech","X035",6
"1255","step09","Tone 4","Nonspeech","X035",3
"1256","step10","Tone 4","Nonspeech","X035",2
"1257","step11","Tone 4","Nonspeech","X035",1
"1258","step12","Tone 4","Nonspeech","X035",0
"1259","step13","Tone 4","Nonspeech","X035",0
"1260","step14","Tone 4","Nonspeech","X035",0
"1261","step01","Tone 1","Nonspeech","X019",7
"1262","step02","Tone 1","Nonspeech","X019",7
"1263","step03","Tone 1","Nonspeech","X019",7
"1264","step04","Tone 1","Nonspeech","X019",7
"1265","step05","Tone 1","Nonspeech","X019",7
"1266","step06","Tone 1","Nonspeech","X019",4
"1267","step07","Tone 1","Nonspeech","X019",2
"1268","step08","Tone 1","Nonspeech","X019",3
"1269","step09","Tone 1","Nonspeech","X019",1
"1270","step10","Tone 1","Nonspeech","X019",0
"1271","step11","Tone 1","Nonspeech","X019",0
"1272","step12","Tone 1","Nonspeech","X019",0
"1273","step13","Tone 1","Nonspeech","X019",0
"1274","step14","Tone 1","Nonspeech","X019",0
"1275","step01","Tone 2","Nonspeech","X019",7
"1276","step02","Tone 2","Nonspeech","X019",6
"1277","step03","Tone 2","Nonspeech","X019",7
"1278","step04","Tone 2","Nonspeech","X019",6
"1279","step05","Tone 2","Nonspeech","X019",6
"1280","step06","Tone 2","Nonspeech","X019",3
"1281","step07","Tone 2","Nonspeech","X019",2
"1282","step08","Tone 2","Nonspeech","X019",1
"1283","step09","Tone 2","Nonspeech","X019",0
"1284","step10","Tone 2","Nonspeech","X019",0
"1285","step11","Tone 2","Nonspeech","X019",0
"1286","step12","Tone 2","Nonspeech","X019",0
"1287","step13","Tone 2","Nonspeech","X019",0
"1288","step14","Tone 2","Nonspeech","X019",0
"1289","step01","Tone 4","Nonspeech","X019",7
"1290","step02","Tone 4","Nonspeech","X019",7
"1291","step03","Tone 4","Nonspeech","X019",7
"1292","step04","Tone 4","Nonspeech","X019",6
"1293","step05","Tone 4","Nonspeech","X019",6
"1294","step06","Tone 4","Nonspeech","X019",4
"1295","step07","Tone 4","Nonspeech","X019",2
"1296","step08","Tone 4","Nonspeech","X019",3
"1297","step09","Tone 4","Nonspeech","X019",2
"1298","step10","Tone 4","Nonspeech","X019",0
"1299","step11","Tone 4","Nonspeech","X019",0
"1300","step12","Tone 4","Nonspeech","X019",0
"1301","step13","Tone 4","Nonspeech","X019",0
"1302","step14","Tone 4","Nonspeech","X019",0
"1303","step01","Tone 1","Nonspeech","X018",7
"1304","step02","Tone 1","Nonspeech","X018",7
"1305","step03","Tone 1","Nonspeech","X018",7
"1306","step04","Tone 1","Nonspeech","X018",7
"1307","step05","Tone 1","Nonspeech","X018",7
"1308","step06","Tone 1","Nonspeech","X018",7
"1309","step07","Tone 1","Nonspeech","X018",6
"1310","step08","Tone 1","Nonspeech","X018",2
"1311","step09","Tone 1","Nonspeech","X018",0
"1312","step10","Tone 1","Nonspeech","X018",0
"1313","step11","Tone 1","Nonspeech","X018",0
"1314","step12","Tone 1","Nonspeech","X018",0
"1315","step13","Tone 1","Nonspeech","X018",0
"1316","step14","Tone 1","Nonspeech","X018",0
"1317","step01","Tone 2","Nonspeech","X018",7
"1318","step02","Tone 2","Nonspeech","X018",7
"1319","step03","Tone 2","Nonspeech","X018",7
