Context,Exp,Index_ororiginal,Subject,Boundary,Condition,attention_stats,Speechness,Condition_lm,Context_lm
Tone 4,condition3,exp3,s11,8.089,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s12,7.704,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s12,5.896,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s12,10.082,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s13,10.363,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s13,9.247,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s13,10.47,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s14,8.517,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s14,8.655,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s14,9.912,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s15,9.495,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s15,9.63,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s15,9.912,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s16,10.669,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s16,10.8,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s16,11.396,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s17,6.524,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s17,5.513,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s17,9.604,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s18,8.337,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s18,8.071,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s18,8.341,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s19,9.343,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s19,9.378,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s19,10.401,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s20,8.999,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s20,8.84,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s20,9.267,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s21,10.178,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s21,10.697,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s21,11.02,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s22,6.971,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s22,6.662,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s22,7.121,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s23,6.723,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s23,6.176,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s23,8.392,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s24,9.248,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s24,9.468,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s24,9.645,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s25,7.044,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s25,6.524,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s25,7.273,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s26,9.913,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s26,9.913,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s26,10.601,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s27,8.513,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s27,8.045,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s27,8.755,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s28,6.971,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s28,5.959,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s28,9.204,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s29,8.758,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s29,8.947,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s29,9.5,Nonspeech context & Attention,Attention,Nonspeech,3,3
Tone 1,condition3,exp3,s30,7.678,Nonspeech context & Attention,Attention,Nonspeech,3,1
Tone 2,condition3,exp3,s30,6.513,Nonspeech context & Attention,Attention,Nonspeech,3,2
Tone 4,condition3,exp3,s30,7.92,Nonspeech context & Attention,Attention,Nonspeech,3,3
