"","step","Context","Subject","T4_count","T4_percent"
"157",9,"zero","X27",2,0.285714285714286
"158",8,"zero","X27",5,0.714285714285714
"159",7,"zero","X27",7,1
"160",6,"zero","X27",7,1
"161",5,"zero","X27",7,1
"162",4,"zero","X27",7,1
"163",3,"zero","X27",7,1
"164",2,"zero","X27",7,1
"165",1,"zero","X27",7,1
"166",11,"zero","X9",0,0
"167",10,"zero","X9",1,0.142857142857143
"168",9,"zero","X9",3,0.428571428571429
"169",8,"zero","X9",7,1
"170",7,"zero","X9",7,1
"171",6,"zero","X9",7,1
"172",5,"zero","X9",7,1
"173",4,"zero","X9",7,1
"174",3,"zero","X9",7,1
"175",2,"zero","X9",7,1
"176",1,"zero","X9",7,1
"177",11,"zero","X16",0,0
"178",10,"zero","X16",0,0
"179",9,"zero","X16",3,0.428571428571429
"180",8,"zero","X16",7,1
"181",7,"zero","X16",7,1
"182",6,"zero","X16",7,1
"183",5,"zero","X16",7,1
"184",4,"zero","X16",7,1
"185",3,"zero","X16",7,1
"186",2,"zero","X16",7,1
"187",1,"zero","X16",7,1
"188",11,"zero","X30",0,0
"189",10,"zero","X30",1,0.142857142857143
"190",9,"zero","X30",6,0.857142857142857
"191",8,"zero","X30",6,0.857142857142857
"192",7,"zero","X30",6,0.857142857142857
"193",6,"zero","X30",7,1
"194",5,"zero","X30",7,1
"195",4,"zero","X30",7,1
"196",3,"zero","X30",7,1
"197",2,"zero","X30",7,1
"198",1,"zero","X30",7,1
"199",11,"zero","X29",0,0
"200",10,"zero","X29",0,0
"201",9,"zero","X29",1,0.142857142857143
"202",8,"zero","X29",5,0.714285714285714
"203",7,"zero","X29",7,1
"204",6,"zero","X29",7,1
"205",5,"zero","X29",7,1
"206",4,"zero","X29",7,1
"207",3,"zero","X29",7,1
"208",2,"zero","X29",7,1
"209",1,"zero","X29",7,1
"210",11,"zero","X14",1,0.142857142857143
"211",10,"zero","X14",1,0.142857142857143
"212",9,"zero","X14",3,0.428571428571429
"213",8,"zero","X14",6,0.857142857142857
"214",7,"zero","X14",7,1
